Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
1226,Huge lot maybe,"Horror,Mystery",Strange things begin to happen when a group of friends gather for a dinner party on an evening when a comet is passing overhead.,Robert Rodriguez,"Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns",1993,87,4.2,282553,775.79,33
1227,Since help,"Drama,Horror,Mystery","Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",Louis Leterrier,"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy",2008,96,6.1,471808,731.64,97
1228,Food most indicate,"Adventure,Horror,Mystery","After facing Shredder, who has joined forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world, the Turtles must confront an even greater nemesis: the notorious Krang.",Gus Van Sant,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Joseph Julian Soria",2012,173,5,872348,631.24,23
1229,Change very catch,"Action,Drama,War","Highly influential and a fearlessly ambitious pioneer, innovator, filmmaker, researcher and conservationist, Jacques-Yves Cousteau's aquatic adventure covers roughly thirty years of an inarguably rich in achievements life.",Drake Doremus,"Denzel Washington, Nadine Velazquez, Don Cheadle, John Goodman",1994,160,7.7,353105,,29
1230,Foreign than college,"Fantasy,Horror",Two sisters decide to throw one last house party before their parents sell their family home.,Denis Villeneuve,"Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish",1998,150,4.9,382068,816.05,
1231,Learn perhaps trouble,"Comedy,Drama","A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",Jeremy Saulnier,"Tom Hanks, Barkhad Abdi, Barkhad Abdirahman,Catherine Keener",1981,115,5.5,583492,478.46,
1232,Modern,"Action,Drama,History","When an idealistic romantic gets fired from his day job, he is offered a ""one-time gig"" to break up a girl's relationship for her disapproving parents. This ""one-time"" gig spreads through ... See full summary Â»",Jon Lucas,"Miles Teller, Kate Mara, Michael B. Jordan, Jamie Bell",2018,116,8.1,644477,597.51,81
1233,Follow manage decade,"Adventure,Drama","""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",David F. Sandberg,"Daniel Radcliffe, James McAvoy, Jessica Brown Findlay, Andrew Scott",1985,88,6.1,440009,702.02,31
1234,More success pattern about,"Action,Drama,History",A new assignment forces a top spy to team up with his football hooligan brother.,Farren Blackburn,"Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau",1999,112,7.8,51434,158.51,88
1235,Include same structure,"Comedy,Drama,Fantasy",The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.,Jackson Stewart,"Lubna Azabal, MÃ©lissa DÃ©sormeaux-Poulin, Maxim Gaudette, Mustafa Kamel",2014,147,8.6,502476,741.01,32
1236,Animal tell society,"Adventure,Drama,History","Life changes for Malcolm, a geek who's surviving life in a tough neighborhood, after a chance invitation to an underground party leads him and his friends into a Los Angeles adventure.",Dan Berk,"Natasha Henstridge, Lukas Hassel, Lin Shaye,Dominique Swain",2018,145,4.3,711328,,93
1237,Center practice,"Crime,Mystery,Thriller",The relationship between two friends deepens during an impromptu road trip.,Spike Lee,"David Oyelowo, Rosamund Pike, Tom Felton, Jack Davenport",1989,112,5.4,455949,548.91,53
1238,Young form figure,"Adventure,Comedy,Family",A team of international astronauts are sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.,Steven Soderbergh,"Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra",1987,104,5.3,943296,257.23,46
1239,Specific,"Action,Horror",A ghostwriter hired to complete the memoirs of a former British prime minister uncovers secrets that put his own life in jeopardy.,Paco Cabezas,"Tom Hardy, Shia LaBeouf, Guy Pearce, Jason Clarke",2001,148,4.2,847975,81.35,42
1240,Maybe kitchen the determine,"Comedy,Drama,Thriller","A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery.",Gore Verbinski,"Diane Lane, Alec Baldwin, Arnaud Viard, Linda Gegusch",1985,179,6.6,142978,792.46,37
1241,Lawyer worry,Horror,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,James Bobin,"Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong",1995,141,5.2,24955,564.39,54
1242,Some clear become,"Drama,History","Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer.",M. Night Shyamalan,"Shia LaBeouf, Michelle Monaghan, Rosario Dawson,Michael Chiklis",2018,140,8.9,741078,16.91,55
1243,East next tell,"Drama,Mystery,Sci-Fi","After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship.",Ido Fluk,"Jim Carrey, Charlotte Gainsbourg, Marton Csokas, Kati Outinen",2024,116,6.4,226759,97.28,32
1244,Tv,"Action,Biography,Drama","John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.",Jocelyn Moorhouse,"Morgan Saylor, Brian Marc, Justin Bartha, Adrian Martinez",2015,89,7,216810,308.29,85
1245,Customer appear,Comedy,"Wallace, who is burned out from a string of failed relationships, forms an instant bond with Chantry, who lives with her longtime boyfriend. Together, they puzzle out what it means if your best friend is also the love of your life.",Julia Leigh,"Hugh Jackman, Jake Gyllenhaal, Viola Davis,Melissa Leo",2014,174,8.3,72364,330.39,25
1246,Big sport,"Thriller,War","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Jake Szymanski,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers",1996,146,8.9,261799,,82
1247,While,"Drama,Sport","After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world.",Morten Tyldum,"Johnny Depp, PenÃ©lope Cruz, Ian McShane, Geoffrey Rush",2011,120,5.1,774292,142.33,33
1248,General where bad,"Action,Crime,Fantasy","A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia.",Mora Stephens,"Freddie Highmore, Keri Russell, Jonathan Rhys Meyers, Terrence Howard",1989,153,5.1,642572,756.26,95
1249,Woman whom,"Drama,Family","A look at Wolverine's early life, in particular his time with the government squad Team X and the impact it will have on his later years.",Justin Simien,"Jason Momoa, Ron Perlman, Rose McGowan,Stephen Lang",2004,160,5.3,279444,822.58,84
1250,Information another firm,"Adventure,Biography",A stuffy businessman finds himself trapped inside the body of his family's cat.,David R. Ellis,"Emily Browning, Vanessa Hudgens, Abbie Cornish,Jena Malone",2005,98,7.1,871451,495.99,90
1251,Religious standard,"Action,Adventure,Comedy","Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.",Jon Watts,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner",1989,147,7.7,529255,51.11,
1252,Challenge our million,"Drama,Fantasy",A young married couple's lives are thrown into a harrowing tailspin when an acquaintance from the husband's past brings mysterious gifts and a horrifying secret to light after more than 20 years.,Richard Curtis,"Ben Winchell, Josh Brener, Maria Bello, Andy Garcia",2001,121,4.4,682878,214.61,
1253,Say record,"Crime,Drama",A teen living under house arrest becomes convinced his neighbor is a serial killer.,Nathan Greno,"Forest Whitaker, Oprah Winfrey, John Cusack, Jane Fonda",2003,123,4.3,507734,951.4,28
1254,Power paper machine,"Comedy,Fantasy","Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",Joseph Gordon-Levitt,"Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer",2006,149,6,157760,139.22,48
1255,Region education,"Drama,Fantasy,Thriller",A journalist is aided in his search for a woman who has been missing -- or dead -- for forty years by a young female hacker.,Luke Scott,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal",1993,123,6.7,961828,84.65,96
1256,Everything from scientist,"Crime,Drama,History","During World War II, an American navy ship is sunk by a Japanese submarine leaving 300 crewmen stranded in shark infested waters.",Greg Tiernan,"Kate Winslet, Judy Davis, Liam Hemsworth,Hugo Weaving",1985,177,4.2,109194,196.16,94
1257,Like public,"Crime,Drama,Horror","A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",Kevin Smith,"Jennifer Lawrence, Chris Pratt, Michael Sheen,Laurence Fishburne",1988,115,6.3,172429,962.46,86
1258,Office industry person,"Comedy,Crime","Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.",Rolfe Kanefsky,"Simon Pegg, Nick Frost, Martin Freeman, Rosamund Pike",1999,133,4.3,897191,150.25,39
1259,Try entire explain,"Comedy,Music,Romance","In the 1930s, a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man.",Pablo LarraÃ­n,"Shailene Woodley, Theo James, Jeff Daniels,Naomi Watts",2023,117,8.9,323524,462.97,99
1260,Building arm,"Fantasy,Mystery,Thriller",A look at the life of an aging insult comic named Jack Burke.,James Marsh,"Lewis MacDougall, Sigourney Weaver, Felicity Jones,Toby Kebbell",2008,157,6.2,940868,978.48,51
1261,Find down one,"Drama,Music,Romance","An attorney, intent on climbing the career ladder toward success, finds an unlikely opponent in a manipulative criminal he is trying to prosecute.",John Carney,"Tye Sheridan, Emory Cohen, Bel Powley,Stephen Moyer",1987,179,6,766371,87.19,70
1262,Member relate,"Action,Horror",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,Alessandro Carloni,"Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez",2021,166,4,283881,443.81,41
1263,Court up middle,"Action,Comedy,Sci-Fi","A cold-blooded predatory couple while cruising the streets in search of their next victim, will stumble upon a 17-year-old high school girl, who will be sedated, abducted and chained in the strangers' guest room.",Jon M. Chu,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe",2003,174,5.3,513033,590.38,25
1264,Home,"Action,Thriller,War","Rusty Griswold takes his own family on a road trip to ""Walley World"" in order to spice things up with his wife and reconnect with his sons.",Alexander Payne,"James McAvoy, Jamie Bell, Eddie Marsan, Imogen Poots",2005,173,7.1,663598,926.81,
1265,Garden,"Drama,Romance,War","A headhunter whose life revolves around closing deals in a a survival-of-the-fittest boiler room, battles his top rival for control of their job placement company -- his dream of owning the company clashing with the needs of his family.",Matt Ross,"Michael Fassbender, Carey Mulligan, James Badge Dale, Lucy Walters",2014,131,5.4,404232,532.74,
1266,Pm successful director,"Drama,Musical,Romance","Warring alien and predator races descend on a rural US town, where unsuspecting residents must band together for any chance of survival.",Sharon Maguire,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio,Kerry Washington",2006,109,6.8,879469,236.4,62
1267,Either actually rest,"Horror,Mystery,Sci-Fi","Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",Wes Anderson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",1982,101,8.5,496177,73.32,43
1268,Stop set,"Adventure,Drama,Romance",A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery.,David Leveaux,"Jason Statham, Joan Allen, Tyrese Gibson, Ian McShane",2024,103,7.9,376974,684.64,97
1269,Senior various,"Action,Comedy,Crime",Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio.,Ben Younger,"Blake Lively, Ãscar Jaenada, Angelo Josue Lozano Corzo, Brett Cullen",1982,163,4.9,342512,919.46,42
1270,Summer follow,"Comedy,Horror,Sci-Fi",A college professor's bond with the abandoned dog he takes into his home.,Brian Helgeland,"Aaron Taylor-Johnson, Nicolas Cage, ChloÃ« Grace Moretz, Garrett M. Brown",2005,120,6.2,174728,982.77,36
1271,Risk wait ago fire,"Animation,Fantasy","A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max.",Frank Darabont,"Vince Vaughn, Owen Wilson, Rose Byrne, Aasif Mandvi",2000,103,8.9,636949,,81
1272,You each,"Comedy,Music",A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.,Edward Zwick,"Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn",1986,125,5.5,900502,9.71,80
1273,Find nice,"Crime,Drama","The story revolves around the passengers of a yachting trip in the Atlantic Ocean who, when struck by mysterious weather conditions, jump to another ship only to experience greater havoc on the open seas.",Sean Anders,"Taraneh Alidoosti, Shahab Hosseini, Babak Karimi,Farid Sajjadi Hosseini",2012,83,8.9,553414,984.54,37
1274,Pick where perhaps,"Action,Adventure,Crime","The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press.",Levan Gabriadze,"Blake Lively, Michiel Huisman, Harrison Ford,Kathy Baker",2003,176,8.1,765090,,93
1275,Degree others Republican difference,"Action,Comedy,Drama","In a post-apocalyptic wasteland in 1997, a comic book fan adopts the persona of his favourite hero to save his enthusiastic friend and fight a tyrannical overlord.",Jackson Stewart,"Sean Faris, Djimon Hounsou, Amber Heard, Cam Gigandet",2020,150,4.3,962507,954.2,49
1276,Couple former thousand,"Comedy,Fantasy,Horror","A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",Florian Gallenberger,"Kevin Costner, Hailee Steinfeld, Connie Nielsen, Amber Heard",1992,86,7.5,941131,142.24,57
1277,Find identify scene,"Drama,History,Thriller",A dying CIA agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment.,Aamir Khan,"Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden",2012,176,8.5,385886,759.89,39
1278,Movement land step,"Adventure,Biography,Crime","In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",James Wan,"Chris Evans, Hugo Weaving, Samuel L. Jackson,Hayley Atwell",1993,170,8,280646,277.05,92
1279,Too model paper,"Action,Horror,Mystery",Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,Michael Mann,"Shia LaBeouf, David Morse, Carrie-Anne Moss, Sarah Roemer",1997,89,5.5,842788,805.4,42
1280,Bank yeah,"Adventure,Drama,Thriller","A group of online chat room friends find themselves haunted by a mysterious, supernatural force using the account of their dead friend.",Christopher Landon,"Tom Hardy, Emily Browning, Taron Egerton, Paul Anderson",2013,127,4.4,977963,205.8,39
1281,Until few,"Adventure,Comedy,Romance","A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",Scott Derrickson,"Tom Hughes, Charlotte Le Bon, Oona Chaplin, Barry Ward",2015,125,7.1,615336,271.58,69
1282,Population general matter,"Action,Adventure,Mystery","A young man and woman decide to take their friendship to the next level without becoming a couple, but soon discover that adding sex only leads to complications.",Yorgos Lanthimos,"Anna Faris, Chris Evans, Ari Graynor, Blythe Danner",2011,169,8.2,113385,825.24,
1283,Sound,"Action,Horror,Romance","When Mother Malkin, the queen of evil witches, escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice, he recruits young Tom, the seventh son of the seventh son, to help him.",Lee Toland Krieger,"Daniel Radcliffe, Toni Collette, Tracy Letts, Sam Trammell",2019,110,8.8,570115,9.51,21
1284,Increase,"Action,Adventure,Drama","Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.",Luc Besson,"Emma Booth, Ashleigh Cummings, Stephen Curry,Susie Porter",2019,118,6.3,464070,922.28,52
1285,Drug sign,"Action,Adventure,Comedy","""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",Jon M. Chu,"Jennifer Lawrence, John Hawkes, Garret Dillahunt,Isaiah Stone",2000,139,5.3,986643,450.31,31
1286,Economy itself any,"Action,Comedy,Crime","Two corrupt cops set out to blackmail and frame every criminal unfortunate enough to cross their path. Events, however, are complicated by the arrival of someone who appears to be even more dangerous than they are.",Erik Van Looy,"Kate Beckinsale, Michael Ealy, India Eisley, Stephen Rea",2004,90,4.6,946238,444.78,57
1287,Gas,"Drama,Music,Romance",A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.,Gregory Hoblit,"Ruth Wilson, Paula Prentiss, Lucy Boynton, Bob Balaban",2001,145,6.1,399682,998.15,41
1288,Summer billion watch,"Adventure,Biography","Disgraced Secret Service agent (and former presidential guard) Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack; using his inside knowledge, Banning works with national security to rescue the President from his kidnappers.",James Wan,"Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor",1983,83,8,52680,401.01,86
1289,Environment data,Drama,Ned and Conor are forced to share a bedroom at their boarding school. The loner and the star athlete at this rugby-mad school form an unlikely friendship until it's tested by the authorities.,Jean-FranÃ§ois Richet,"Maika Monroe, Keir Gilchrist, Olivia Luccardi,Lili Sepe",1989,174,6.2,462669,6.44,97
1290,Culture religious bit,"Drama,Sci-Fi,Thriller","A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",David Lowery,"Zoey Deutch, James Franco, Tangie Ambrose,Cedric the Entertainer",2010,105,7,962311,517.02,89
1291,Price,"Drama,Romance","As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",Jonathan Levine,"Joseph Gordon-Levitt, Shailene Woodley, Melissa Leo,Zachary Quinto",2025,118,5.2,176846,,51
1292,Environment question involve see,"Comedy,Music","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",Jonathan Jakubowicz,"Lily James, Cate Blanchett, Richard Madden,Helena Bonham Carter",1998,84,5.6,34310,,
1293,Contain,"Animation,Adventure,Comedy",An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,Anne Fletcher,"Zoey Deutch, Lucy Fry, Danila Kozlovsky, Gabriel Byrne",2016,139,4.4,185677,579.38,75
1294,Interesting image,"Action,Comedy,Sport","A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",Rolfe Kanefsky,"Jesse Eisenberg, Kristen Stewart, Steve Carell, Blake Lively",1982,123,5.9,845660,599.52,91
1295,Behind lawyer,"Adventure,Horror","The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.",John Stockwell,"Ellen Page, Evan Rachel Wood, Max Minghella,Callum Keith Rennie",2002,116,7.8,233000,349.56,64
1296,Major computer land,"Action,Drama,Sport",A traveling theater company gives its audience much more than they were expecting.,Martin Campbell,"John Gallagher Jr., Kate Siegel, Michael Trucco,Samantha Sloyan",2003,81,5.9,995124,405.54,23
1297,Onto whole,"Drama,Music,Romance","The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.",Chris Stokes,"Ryan Gosling, Bradley Cooper, Eva Mendes,Craig Van Hook",2023,144,5.2,983820,246.93,100
1298,Yourself worry on,"Drama,Music,Romance",A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.,Jalil Lespert,"Chiwetel Ejiofor, Nicole Kidman, Julia Roberts, Dean Norris",2025,180,6.1,328022,417.27,64
1299,Last serve,"Action,Adventure,Romance","As he plans his next job, a longtime thief tries to balance his feelings for a bank manager connected to one of his earlier heists, as well as the FBI agent looking to bring him and his crew down.",Jeff Nichols,"Keira Knightley, Mark Ruffalo, Adam Levine, Hailee Steinfeld",1998,135,8.9,154794,223.91,72
1300,World per charge,"Action,Fantasy",A young woman attempts to deal with the death of her boyfriend while continuously confronted by his mentally unstable mother.,Patricia Rozema,"Sandra HÃ¼ller, Peter Simonischek, Michael Wittenborn,Thomas Loibl",1982,164,5.9,722338,85.88,24
1301,Apply boy bed,"Adventure,Family,Fantasy",A young woman attempts to deal with the death of her boyfriend while continuously confronted by his mentally unstable mother.,Peter Landesman,"Dieter Laser, Ashley C. Williams, Ashlynn Yennie, Akihiro Kitamura",1991,134,8.7,980669,658.42,20
1302,Congress word better,"Drama,Mystery,Romance","While still out to destroy the evil Umbrella Corporation, Alice joins a group of survivors living in a prison surrounded by the infected who also want to relocate to the mysterious but supposedly unharmed safe haven known only as Arcadia.",Gaspar NoÃ©,"Henry Cavill, Mickey Rourke, John Hurt, Stephen Dorff",2008,142,8.9,901989,460.03,
1303,Process little health,"Adventure,Drama,War","A group of young adults discover a boarded up Camp Crystal Lake, where they soon encounter Jason Voorhees and his deadly intentions.",Alexander Payne,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley,Alfred Molina",1993,89,4.5,804742,462.72,57
1304,Stage risk base,"Comedy,Family,Musical",A young woman suffering from Parkinson's befriends a drug rep working for Pfizer in 1990s Pittsburgh.,David Schwimmer,"Lyndsy Fonseca, Michael Doneger, Tommy Dewey,Bruce Campbell",1980,80,5.6,61584,751.36,41
1305,Explain less why,"Comedy,Romance,Western",Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,Justin Lin,"Diego Luna, Zoe Saldana, Channing Tatum, Ron Perlman",2003,108,8.5,546079,454.96,56
1306,Reality gun,"Action,Drama,Mystery","Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.",Paolo Genovese,"Jason Sudeikis, Jennifer Aniston, Emma Roberts, Ed Helms",1991,93,5.9,684875,903.43,
1307,Call whom interview,"Crime,Drama,Mystery","A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""",Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport",2001,141,4.2,26909,978.61,24
1308,Moment require,"Mystery,Romance,Sci-Fi","As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows.",James Bobin,"Channing Tatum, Jonah Hill, Ice Cube,Nick Offerman",2016,139,4.5,624367,658.86,82
1309,Career investment though,"Action,Horror,Thriller","A grieving couple retreat to their cabin in the woods, hoping to repair their broken hearts and troubled marriage. But nature takes its course and things go from bad to worse.",Ben Stiller,"Megan Fox, Amanda Seyfried, Adam Brody, Johnny Simmons",2013,140,5.4,946716,,27
1310,Bad Mr,"Animation,Adventure,Comedy","A stranger in the city asks questions no one has asked before. His childlike curiosity will take him on a journey of love, laughter, and letting go.",Nacho Vigalondo,"Clint Eastwood, Bee Vang, Christopher Carley,Ahney Her",1993,150,6.2,151098,320.01,44
1311,Through free,"Action,Drama,Thriller","The retelling of France's iconic but ill-fated queen, Marie Antoinette. From her betrothal and marriage to Louis XVI at 15 to her reign as queen at 19 and to the end of her reign as queen, and ultimately the fall of Versailles.",Eran Creevy,"Chris Evans, Robert Downey Jr.,Scarlett Johansson, Sebastian Stan",2020,137,6.3,980066,170.31,32
1312,Water someone long,"Comedy,Horror,Sci-Fi","Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",Todor Chapkanov,"Will Smith, Edward Norton, Kate Winslet, Michael PeÃ±a",1986,87,8.7,819557,776.83,73
1313,Information respond,"Action,Adventure,Sci-Fi","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",Martin Koolhoven,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein",2023,130,6.2,99105,763.17,81
1314,Phone argue,"Fantasy,Horror",This movie is about Jackie Robinson and his journey to becoming a Brooklyn Dodger and his life during that time.,Clay Kaytis,"Denzel Washington, Marton Csokas, ChloÃ« Grace Moretz, David Harbour",1992,134,8.4,27957,893.7,66
1315,College building treat,"Action,Horror,Sci-Fi","A mad scientist kidnaps and mutilates a trio of tourists in order to reassemble them into a human centipede, created by stitching their mouths to each others' rectums.",Robert Stromberg,"Seth MacFarlane, Charlize Theron, Liam Neeson,Amanda Seyfried",1982,159,5.6,228340,894.16,52
1316,Collection dream point,"Action,Adventure","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",Lee Unkrich,"Andrew Garfield, Adam Driver, Liam Neeson,Tadanobu Asano",1995,149,5.4,491819,982.57,64
1317,Financial score create itself,"Action,Drama,History","3 high school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",Caleb Vetter,"Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly",1993,95,6.3,215257,95.93,88
1318,Heavy hotel consumer,"Mystery,Thriller","Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.",Peyton Reed,"James Franco, Amber Tamblyn, Kate Mara, Sean Bott",1981,84,5.2,519046,335.98,97
1319,From season win,"Adventure,Family,Fantasy","A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession.",John Stockwell,"Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd",2021,81,4,510953,328.74,56
1320,Standard,"Comedy,Music",A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.,Yorgos Lanthimos,"Rhona Mitra, Michael Sheen, Bill Nighy, Steven Mackintosh",2023,176,4.2,556401,7.1,93
1321,Fall suddenly interesting,"Fantasy,Horror,Thriller","Three teenage friends, in the ultimate act of independence, decide to spend their summer building a house in the woods and living off the land.",Nitesh Tiwari,"Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett",1996,157,4.9,467077,878.32,
1322,Small test,"Drama,Fantasy,Horror","The lives of some visitors and residents of Rome and the romances, adventures and predicaments they get into.",David Robert Mitchell,"Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick",2006,108,6,929494,758.52,93
1323,Recognize degree manager,"Action,Adventure,Fantasy",A CIA agent on the ground in Jordan hunts down a powerful terrorist leader while being caught between the unclear intentions of his American supervisors and Jordan Intelligence.,Andy Goddard,"Hiroki Hasegawa, Yutaka Takenouchi,Satomi Ishihara, Ren Ãsugi",2021,119,7,303378,447.55,24
1324,Source cultural win,"Drama,Horror","A young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school.",Paul Feig,"RenÃ©e Zellweger, Gemma Jones, Jim Broadbent,Sally Phillips",2022,123,6.9,83852,875.02,27
1325,Include,"Action,Fantasy,War","A dying real estate mogul transfers his consciousness into a healthy young body, but soon finds that neither the procedure nor the company that performed it are quite what they seem.",David Schwimmer,"Callan McAuliffe, Lorraine Nicholson, Daniel Eric Gold, Clifton Collins Jr.",1985,94,4.8,371797,79.41,84
1326,Apply drive up,"Action,Comedy,Family","Four friends gather at an elegant home during the Summer of Love, 1969. Unbeknownst to them, deadly visitors are waiting outside. What begins as a simple farewell party turns to a night of ... See full summary Â»",Lee Daniels,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",1990,163,6.6,317039,817.2,88
1327,Do room,"Action,Adventure,Horror",Scottish islanders try to plunder cases of whisky from a stranded ship.,Alexandros Avranas,"Kurt Russell, Patrick Wilson, Matthew Fox, Richard Jenkins",2020,156,7.7,334270,521.32,96
